regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Liguria,1334,8.379397,15920,1/2/2021 5:03:24 PM,07,2021-01-02 
Lombardia,2416,2.997705,80595,1/2/2021 5:03:24 PM,03,2021-01-02 
Marche,499,5.559889,8975,1/2/2021 5:03:24 PM,11,2021-01-02 
Molise,50,1.680672,2975,1/2/2021 5:03:24 PM,14,2021-01-02 
P.A. Bolzano,1037,17.297748,5995,1/2/2021 5:03:24 PM,21,2021-01-02 
P.A. Trento,1730,34.773869,4975,1/2/2021 5:03:24 PM,22,2021-01-02 
Piemonte,6024,14.734010,40885,1/2/2021 5:03:24 PM,01,2021-01-02 
Puglia,1956,7.565268,25855,1/2/2021 5:03:24 PM,16,2021-01-02 
Sardegna,242,1.882536,12855,1/2/2021 5:03:24 PM,20,2021-01-02 
Sicilia,2471,5.312836,46510,1/2/2021 5:03:24 PM,19,2021-01-02 
Toscana,3579,12.818768,27920,1/2/2021 5:03:24 PM,09,2021-01-02 
Umbria,676,13.629032,4960,1/2/2021 5:03:24 PM,10,2021-01-02 
Valle Aosta,20,2.010050,995,1/2/2021 5:03:24 PM,02,2021-01-02 
Veneto,6041,15.529563,38900,1/2/2021 5:03:24 PM,05,2021-01-02 
Abruzzo,349,4.398236,7935,1/2/2021 7:44:24 PM,13,2021-01-02 
Basilicata,225,4.518072,4980,1/2/2021 7:44:24 PM,17,2021-01-02 
Calabria,279,2.153609,12955,1/2/2021 7:44:24 PM,18,2021-01-02 
Campania,3111,9.185120,33870,1/2/2021 7:44:24 PM,15,2021-01-02 
Emilia-Romagna,4301,9.802849,43875,1/2/2021 7:44:24 PM,08,2021-01-02 
Friuli-Venezia Giulia,1948,16.280819,11965,1/2/2021 7:44:24 PM,06,2021-01-02 
Lazio,11566,25.250519,45805,1/2/2021 7:44:24 PM,12,2021-01-02 
Liguria,1670,10.489950,15920,1/2/2021 7:44:24 PM,07,2021-01-02 
Lombardia,2416,2.997705,80595,1/2/2021 7:44:24 PM,03,2021-01-02 
Marche,499,5.559889,8975,1/2/2021 7:44:24 PM,11,2021-01-02 
Molise,50,1.680672,2975,1/2/2021 7:44:24 PM,14,2021-01-02 
P.A. Bolzano,1037,17.297748,5995,1/2/2021 7:44:24 PM,21,2021-01-02 
P.A. Trento,1730,34.773869,4975,1/2/2021 7:44:24 PM,22,2021-01-02 
Piemonte,6024,14.734010,40885,1/2/2021 7:44:24 PM,01,2021-01-02 
Puglia,3481,13.463547,25855,1/2/2021 7:44:24 PM,16,2021-01-02 
Sardegna,242,1.882536,12855,1/2/2021 7:44:24 PM,20,2021-01-02 
Sicilia,2471,5.312836,46510,1/2/2021 7:44:24 PM,19,2021-01-02 
